ID,Exec,FO,Tempo
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,0,7.450000,751.289807
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,1,5.520000,680.799257
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,2,10.645000,755.683917
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,3,9.550000,677.882419
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,4,10.000000,755.184796
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,5,12.150000,684.344687
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,6,14.000000,744.453125
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,7,5.965000,698.563711
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,8,8.350000,731.569771
1266-0.01.0.95.400.10.0.5.UM_PONTO.ROLETA.500,9,6.950000,711.210161
