ID,Exec,FO,Tempo
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,0,456.040000,54.178280
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,1,502.115000,56.977914
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,2,437.240000,76.387952
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,3,428.525000,71.554193
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,4,491.645000,60.306589
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,5,409.265000,58.117426
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,6,419.060000,77.871726
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,7,112.350000,39.471315
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,8,484.445000,53.336302
1722-0.01.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,9,485.900000,53.179267
