ID,Exec,FO,Tempo
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,0,377.665000,508.220074
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,1,492.480000,466.355897
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,2,396.475000,341.819758
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,3,395.235000,599.234258
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,4,403.440000,618.410253
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,5,408.015000,637.509574
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,6,55.350000,337.511100
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,7,497.660000,580.630583
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,8,497.650000,529.255760
1677-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,9,408.440000,572.922500
