ID,Exec,FO,Tempo
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,0,53.400000,736.466797
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,1,53.100000,734.941949
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,2,33.205000,718.332452
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,3,53.700000,746.415782
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,4,52.950000,721.196000
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,5,53.100000,752.742663
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,6,52.950000,717.772140
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,7,53.300000,762.452753
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,8,53.100000,704.029758
1265-0.01.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.1000,9,53.200000,762.472117
