ID,Exec,FO,Tempo
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,0,54.400000,323.443951
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,1,374.745000,485.438317
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,2,55.050000,329.893339
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,3,54.750000,327.840621
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,4,465.920000,419.216262
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,5,379.135000,510.328835
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,6,470.830000,427.801367
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,7,372.895000,398.101380
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,8,437.440000,517.254895
1675-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_2.750,9,387.370000,445.534112
