ID,Exec,FO,Tempo
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,0,51.800000,769.416731
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,1,53.050000,868.165106
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,2,56.130000,779.172684
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,3,53.450000,828.482069
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,4,53.400000,834.077872
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,5,52.550000,816.495474
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,6,52.150000,840.997879
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,7,53.200000,883.016547
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,8,52.900000,797.700316
184-0.005.0.95.400.10.0.5.UM_PONTO.TORNEIO_4.750,9,53.050000,790.819072
