ID,Exec,FO,Tempo
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,0,499.875000,497.316269
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,1,504.300000,534.528543
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,2,499.140000,484.443234
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,3,112.000000,331.113522
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,4,500.400000,491.216404
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,5,495.600000,558.060298
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,6,498.950000,574.750870
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,7,502.515000,470.993297
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,8,450.250000,628.434452
1650-0.01.0.99.200.10.0.5.SEGMENTADO.TORNEIO_4.500,9,497.885000,493.672596
