ID,Exec,FO,Tempo
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,0,499.595000,287.920697
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,1,489.600000,228.832137
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,2,490.590000,229.702788
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,3,488.750000,226.059907
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,4,491.450000,228.038388
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,5,500.400000,251.444751
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,6,54.950000,163.048541
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,7,489.845000,251.429869
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,8,490.975000,1794.074943
1507-0.01.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_4.750,9,488.600000,2063.316750
