ID,Exec,FO,Tempo
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,0,492.225000,486.790009
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,1,55.050000,328.545335
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,2,488.545000,485.182479
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,3,101.300000,340.170496
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,4,494.265000,475.587613
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,5,495.725000,500.371173
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,6,54.300000,322.541400
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,7,418.745000,604.467202
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,8,410.370000,593.774170
1643-0.01.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_4.1000,9,440.755000,617.950494
