ID,Exec,FO,Tempo
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,0,155.230000,785.951202
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,1,128.445000,712.278225
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,2,54.500000,776.345931
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,3,182.100000,694.505049
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,4,54.300000,770.003972
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,5,62.195000,682.000397
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,6,63.970000,767.348172
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,7,73.505000,691.587062
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,8,116.315000,768.208747
835-0.005.0.99.400.20.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,9,55.295000,696.115040
