ID,Exec,FO,Tempo
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,0,160.465000,438.668196
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,1,54.600000,402.328294
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,2,54.550000,377.673048
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,3,30.870000,351.838423
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,4,54.150000,407.011056
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,5,54.550000,409.960599
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,6,109.305000,380.635621
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,7,197.940000,435.436904
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,8,202.265000,434.115778
618-0.005.0.99.200.10.0.8.SEGMENTADO.ROLETA.500,9,54.150000,404.449237
