ID,Exec,FO,Tempo
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,0,380.640000,502.804185
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,1,384.625000,542.817399
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,2,54.700000,321.420882
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,3,198.875000,323.202213
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,4,399.315000,499.203708
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,5,55.500000,322.142456
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,6,467.230000,429.083302
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,7,459.225000,374.662322
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,8,54.500000,317.702978
1657-0.01.0.99.200.10.0.5.UNIFORME.TORNEIO_2.750,9,382.700000,490.197461
