ID,Exec,FO,Tempo
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,0,4.900000,37.361003
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,1,4.750000,37.538857
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,2,5.100000,36.985620
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,3,5.470000,37.367197
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,4,5.900000,37.490613
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,5,5.900000,37.264713
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,6,6.590000,37.353211
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,7,6.300000,37.720504
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,8,5.500000,37.384597
1717-0.01.0.99.200.20.0.5.UM_PONTO.ROLETA.750,9,5.525000,37.520557
