ID,Exec,FO,Tempo
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,0,282.755000,343.888978
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,1,100.250000,354.190292
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,2,339.920000,396.568203
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,3,54.050000,382.408379
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,4,246.135000,370.696383
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,5,326.960000,486.720463
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,6,54.950000,380.675629
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,7,99.600000,375.695594
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,8,100.350000,318.959566
1258-0.01.0.95.200.20.0.8.UNIFORME.ROLETA.750,9,270.430000,464.108647
