ID,Exec,FO,Tempo
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,0,389.155000,81.404191
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,1,348.760000,86.146205
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,2,391.200000,90.609594
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,3,335.510000,99.341219
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,4,398.870000,100.149795
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,5,54.400000,75.373866
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,6,400.755000,106.254254
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,7,55.400000,96.436241
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,8,465.880000,184.686587
1286-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.1000,9,268.165000,796.025957
