ID,Exec,FO,Tempo
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,0,373.715000,980.934775
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,1,455.805000,891.105810
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,2,54.880000,720.641746
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,3,55.850000,763.131722
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,4,54.650000,708.124350
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,5,55.150000,768.562430
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,6,95.040000,695.495267
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,7,455.295000,900.194737
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,8,428.215000,843.839473
1285-0.01.0.95.400.10.0.5.MULTIPLOS_PONTOS_4.ROLETA.750,9,355.040000,817.127199
