ID,Exec,FO,Tempo
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,0,12.750000,321.036475
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,1,16.600000,325.898253
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,2,8.700000,326.944864
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,3,18.905000,326.181658
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,4,8.455000,324.816311
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,5,18.850000,323.816768
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,6,11.200000,324.079367
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,7,9.400000,324.585835
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,8,11.145000,323.779503
1625-0.01.0.99.200.10.0.5.UM_PONTO.TORNEIO_4.1000,9,12.015000,324.564880
