ID,Exec,FO,Tempo
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,0,462.745000,62.322617
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,1,495.425000,56.814081
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,2,54.850000,38.692580
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,3,497.600000,62.589078
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,4,490.670000,59.252240
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,5,54.750000,39.280441
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,6,402.160000,77.689305
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,7,407.140000,77.234080
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,8,407.555000,63.061661
642-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.TORNEIO_4.500,9,422.400000,78.913975
