ID,Exec,FO,Tempo
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,0,6.550000,318.093046
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,1,453.960000,407.257830
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,2,55.100000,329.082693
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,3,384.300000,473.975419
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,4,373.710000,413.544672
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,5,54.950000,332.437210
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,6,381.375000,436.859079
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,7,372.520000,480.002179
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,8,54.200000,330.303035
1684-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.TORNEIO_2.750,9,454.980000,374.242338
