ID,Exec,FO,Tempo
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,0,54.850000,75.997333
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,1,55.150000,80.394155
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,2,484.500000,252.148035
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,3,417.950000,1412.224490
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,4,485.315000,1296.239400
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,5,496.765000,1234.542554
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,6,498.075000,1317.641201
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,7,487.200000,1122.392687
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,8,390.790000,1532.449806
208-0.005.0.95.400.10.0.5.SEGMENTADO.TORNEIO_2.750,9,55.550000,780.057310
