ID,Exec,FO,Tempo
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,0,490.500000,2221.124824
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,1,493.900000,2143.418711
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,2,496.010000,2267.020060
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,3,101.300000,1547.825965
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,4,484.890000,2824.064081
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,5,494.925000,2613.895317
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,6,497.320000,2549.530537
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,7,487.570000,2248.313226
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,8,502.600000,2353.481820
417-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_2.TORNEIO_4.500,9,500.695000,2150.967088
