ID,Exec,FO,Tempo
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,0,447.670000,622.891935
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,1,491.485000,583.576912
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,2,479.015000,495.334666
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,3,55.300000,326.943664
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,4,54.650000,402.524457
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,5,6.600000,383.787095
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,6,480.620000,444.243365
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,7,61.150000,351.830142
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,8,415.745000,663.730723
558-0.005.0.99.200.10.0.5.MULTIPLOS_PONTOS_4.TORNEIO_2.500,9,54.250000,396.155575
