ID,Exec,FO,Tempo
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,0,320.405000,448.657093
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,1,346.270000,451.219480
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,2,264.470000,428.272595
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,3,393.330000,502.680603
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,4,54.600000,331.741540
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,5,321.045000,380.736611
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,6,54.200000,382.741716
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,7,146.450000,381.787723
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,8,54.150000,338.401546
1241-0.01.0.95.200.20.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,9,93.395000,353.828411
