ID,Exec,FO,Tempo
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,0,478.405000,194.518422
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,1,486.455000,198.198322
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,2,396.025000,240.902001
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,3,371.575000,184.686601
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,4,483.655000,182.057607
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,5,477.585000,206.634289
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,6,54.950000,157.394814
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,7,385.790000,238.773735
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,8,472.640000,178.640055
431-0.005.0.95.800.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.1000,9,54.550000,154.679085
