ID,Exec,FO,Tempo
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,0,143.320000,39.459889
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,1,54.250000,37.798398
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,2,74.655000,38.365988
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,3,100.560000,37.912077
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,4,52.400000,37.367295
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,5,54.150000,38.067154
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,6,41.100000,39.893719
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,7,189.230000,48.146058
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,8,123.900000,38.970082
647-0.005.0.99.200.20.0.5.MULTIPLOS_PONTOS_2.ROLETA.1000,9,51.700000,38.161086
