ID,Exec,FO,Tempo
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,0,367.770000,398.038166
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,1,54.450000,355.345985
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,2,352.525000,456.653323
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,3,54.450000,382.315321
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,4,372.890000,358.193418
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,5,222.300000,391.628265
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,6,138.785000,384.454912
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,7,150.820000,383.295554
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,8,399.440000,363.799532
1249-0.01.0.95.200.20.0.8.SEGMENTADO.ROLETA.750,9,54.950000,373.546476
